# x_m,y_m,v_mps,kappa
# optimization: {"dynamic_validation": false, "effective_margin_m": [0.03728659204552065, 0.214485821643566], "elapsed_s": 267.22774540202226, "export_audit": {"max_axle_friction_ratio": 1.0000000000000082, "maximum_steering_rad": 0.33882085323190164, "minimum_body_clearance_above_reserve_m": 0.002766721944067685, "normalized_physical_violation": 8.215650382226158e-15, "samples": 2160}, "export_relative_time_change": 0.003308593632277015, "exported_time_s": 6.978163140427508, "geometry_discretization_reserve_m": 0.003, "global_optimum_proven": false, "kkt_stationarity": 8.40271868013387e-06, "mesh_checks": [{"dense_normalized_violation": 0.019417143391516484, "dense_time_relative_change": 4.592927090963659e-05, "iterations": 186, "samples": 368, "time_s": 6.95114891988296}, {"dense_normalized_violation": 0.015684555735077585, "dense_time_relative_change": 2.215020624866369e-05, "iterations": 44, "samples": 407, "time_s": 6.954733368411144}, {"dense_normalized_violation": 0.0027926370502104753, "dense_time_relative_change": 1.455140069094873e-05, "iterations": 44, "samples": 434, "time_s": 6.95520190369207}, {"dense_normalized_violation": 8.748488061336106e-05, "dense_time_relative_change": 1.42978268326e-05, "iterations": 47, "samples": 454, "time_s": 6.95524937214508}, {"dense_normalized_violation": 9.19741443628661e-07, "dense_time_relative_change": 1.4285520417603759e-05, "iterations": 44, "samples": 456, "time_s": 6.955250730266575}], "model": "periodic-quasisteady-axle-nlp-v1", "normalized_constraint_violation": 9.393790798110243e-10, "objective": "integral(norm(dxy/dphase)/speed, phase=0..1)", "path_control_mesh_convergence_tested": false, "path_controls": 92, "requested_margin_m": 0.4, "solved_time_s": 6.955151370890258, "solver_message": "Optimization terminated successfully", "status": "converged"}
4.054206344217644364e+00,7.311024358406752910e+00,6.530034477202805832e+00,2.216298287163845637e-01
4.057104075846583946e+00,7.276230556985973763e+00,6.530034477202805832e+00,2.216850595076420294e-01
4.060271117245053851e+00,7.241459219263441938e+00,6.530034477202805832e+00,2.169352925058647685e-01
4.063701527200026753e+00,7.206711981073564921e+00,6.532242170549236171e+00,2.100455155882212099e-01
4.067386440229956435e+00,7.171993007987107482e+00,6.537280795648364951e+00,2.045069426877303143e-01
4.071319297703688278e+00,7.137300022957488110e+00,6.544307079687801121e+00,2.003308464609998285e-01
4.075495058555388184e+00,7.102632670443278506e+00,6.552663177103310588e+00,1.975113438867233950e-01
4.079909452033840367e+00,7.067997663938167641e+00,6.561799486372615675e+00,1.960886377420225923e-01
4.084560419188996150e+00,7.033396948484081257e+00,6.561310560728538910e+00,1.961566867563859784e-01
4.089448350693360545e+00,6.998828052507309216e+00,6.545572750654411465e+00,1.978772656079914316e-01
4.094575882715341564e+00,6.964287818152768317e+00,6.530565355003287387e+00,2.015026691551533855e-01
4.099946042067904806e+00,6.929786256381887277e+00,6.517023599662985944e+00,2.074122032263790716e-01
4.105565617795408961e+00,6.895326341892349831e+00,6.506011565705374089e+00,2.161244468023080234e-01
4.111444416627408671e+00,6.860913533392320574e+00,6.506011565705374089e+00,2.233289986807520944e-01
4.117591490314715941e+00,6.826546792611384085e+00,6.506011565705374089e+00,2.203757538164770879e-01
4.124004029894943635e+00,6.792221868694944931e+00,6.507403514724438232e+00,2.097257613312401847e-01
4.130666440460908362e+00,6.757951533303952374e+00,6.513216962188518089e+00,1.914687734507107553e-01
4.137557538559827996e+00,6.723727689661014750e+00,6.525107907380686356e+00,1.659587467967756080e-01
4.144647397779912090e+00,6.689541524582239163e+00,6.543499184566908156e+00,1.345427953942602006e-01
4.151897815496054633e+00,6.655388798416526974e+00,6.567808368089597337e+00,9.940489684634025436e-02
4.159266158992513951e+00,6.621264018201212131e+00,6.566577970978951129e+00,6.315768941377908341e-02
4.166709661817238342e+00,6.587155863055318861e+00,6.562613187095474032e+00,2.832549053680794363e-02
4.174188165083700497e+00,6.553049281451131414e+00,6.558729741604601315e+00,-1.668081524236897893e-03
4.181665549297677309e+00,6.518938306477300770e+00,6.578753752756330897e+00,-9.556848181198724160e-03
