# x_m,y_m,v_mps,kappa
# optimization: {"dynamic_validation": false, "effective_margin_m": [0.22250000000000003, 0.4], "elapsed_s": 68.84690996498102, "export_relative_time_change": -0.020226038907830837, "exported_time_s": 11.50334112774894, "global_optimum_proven": false, "kkt_stationarity": 9.216596923654257e-06, "mesh_checks": [{"dense_normalized_violation": 0.02167510757173594, "dense_time_relative_change": 0.00017802011576368472, "iterations": 39, "samples": 336, "time_s": 11.729208414528397}, {"dense_normalized_violation": 0.005824461986172812, "dense_time_relative_change": 0.00014022956799437876, "iterations": 32, "samples": 377, "time_s": 11.740989811066786}, {"dense_normalized_violation": 0.001342924253240874, "dense_time_relative_change": 0.00013207050485529594, "iterations": 32, "samples": 400, "time_s": 11.742118283153637}, {"dense_normalized_violation": 0.0002595167155455656, "dense_time_relative_change": 0.00013154417923384637, "iterations": 25, "samples": 417, "time_s": 11.742354310545275}, {"dense_normalized_violation": 6.936401990641288e-06, "dense_time_relative_change": 0.00013142942340977614, "iterations": 20, "samples": 421, "time_s": 11.74235452343244}], "model": "periodic-quasisteady-axle-nlp-v1", "normalized_constraint_violation": 2.582783898209609e-10, "objective": "integral(norm(dxy/dphase)/speed, phase=0..1)", "path_controls": 84, "requested_margin_m": 0.4, "solved_time_s": 11.740811232547951, "solver_message": "Optimization terminated successfully", "status": "converged"}
-3.960740066386441072e+01,1.735964287592613564e+00,9.737104880965159026e+00,4.044355682811038438e-02
-3.954574005024164052e+01,1.778286738033752812e+00,9.769233588238510180e+00,3.511858413069270796e-02
-3.948419080068579490e+01,1.820770994205308524e+00,9.801079401589278817e+00,2.979538477946051117e-02
-3.942273636776018719e+01,1.863392300367854526e+00,9.832647290416183239e+00,2.447398284536965798e-02
-3.936136004562956003e+01,1.906126021482280830e+00,9.863942084678413380e+00,1.915418149825560273e-02
-3.930004499911671445e+01,1.948947622638139476e+00,9.894968480253861998e+00,1.383560265335952166e-02
-3.923877429195712807e+01,1.991832647408998902e+00,9.925731044037526374e+00,8.561921601873145188e-03
-3.917753105633072153e+01,2.034756897773387863e+00,9.956234218777701983e+00,4.129254652539063319e-03
-3.911630107887939545e+01,2.077700059486633499e+00,9.986482327730143993e+00,6.018632415103466679e-04
-3.905507303438054123e+01,2.120645977293521334e+00,9.999999999995452526e+00,-2.868029122002618315e-03
-3.899383578000339412e+01,2.163578760835500603e+00,9.999999999995452526e+00,-6.338390470220622158e-03
-3.893257818164020989e+01,2.206482510438913192e+00,9.999999999995452526e+00,-9.809266541052571314e-03
-3.887128912614533505e+01,2.249341308246170623e+00,9.999999999995452526e+00,-1.328068299959438495e-02
-3.880995753366563861e+01,2.292139209463729621e+00,9.999999999995452526e+00,-1.675263444018738890e-02
-3.874857237010865418e+01,2.334860233793464968e+00,9.999999999995452526e+00,-2.022507345641054097e-02
-3.868712265979357312e+01,2.377488357114441175e+00,9.999999999995452526e+00,-2.369789956339416609e-02
-3.862559749832918499e+01,2.420007503483831979e+00,9.999999999995452526e+00,-2.717094826997776269e-02
-3.856398606576046717e+01,2.462401537526372142e+00,9.999999999995452526e+00,-2.974979505573055807e-02
-3.850228046298864371e+01,2.504658385774972462e+00,9.999999999995452526e+00,-2.795224875338190446e-02
-3.844048665448934798e+01,2.546786149247103559e+00,9.999999999995452526e+00,-2.458708213411004567e-02
-3.837861548250828037e+01,2.588800216203893001e+00,9.999999999995452526e+00,-2.120896137599605560e-02
-3.831667774440597896e+01,2.630716093683428181e+00,9.999999999995452526e+00,-1.783066655018697780e-02
-3.825468416384245529e+01,2.672549340255785832e+00,9.999999999995452526e+00,-1.445236459333201426e-02
-3.819264540196939350e+01,2.714315557022658698e+00,9.999999999995452526e+00,-1.107416854196466641e-02
-3.813057206884970896e+01,2.756030378942450287e+00,9.999999999995452526e+00,-7.696147604345355414e-03
-3.806847473505891344e+01,2.797709466421837377e+00,9.999999999995452526e+00,-4.318337286639056458e-03
-3.800636394342409119e+01,2.839368497113493817e+00,9.999999999995452526e+00,-9.407494863467698787e-04
-3.794425022085752630e+01,2.881023157859051498e+00,9.999999999995452526e+00,2.408762528920207167e-03
-3.788214400343034072e+01,2.922689007345014023e+00,9.999999999995452526e+00,4.062214691115604605e-03
-3.782005044710046349e+01,2.964373723072304401e+00,9.999999999995452526e+00,3.009839565545503921e-03
-3.775796627545167183e+01,3.006072415037960965e+00,9.999999999995452526e+00,1.726628414608608313e-03
-3.769588748884921614e+01,3.047779123678068025e+00,9.999999999995452526e+00,4.458358382625065034e-04
-3.763381009289744838e+01,3.089487902205198200e+00,9.999999999995452526e+00,-8.348857531306824384e-04
-3.757173009283144438e+01,3.131192804558251108e+00,9.999999999995452526e+00,-2.115542690286287535e-03
-3.750964349520543095e+01,3.172887884225735977e+00,9.999999999995452526e+00,-3.396140919565954815e-03
-3.744754630958248498e+01,3.214567193071570461e+00,9.999999999995452526e+00,-4.676685441033599268e-03
-3.738543455022787043e+01,3.256224780166778299e+00,9.999999999995452526e+00,-5.957179760461428150e-03
-3.732330423780825157e+01,3.297854690630459995e+00,9.999999999995452526e+00,-7.237625357856328039e-03
-3.726115140109907742e+01,3.339450964483261064e+00,9.999999999995452526e+00,-8.330850799940075005e-03
-3.719897266022028504e+01,3.381008506037377348e+00,9.999999999995452526e+00,-8.044086820037196772e-03
-3.713676892932705442e+01,3.422528633505675710e+00,9.999999999995452526e+00,-7.034854642376926065e-03
-3.707454336216781599e+01,3.464016028649519185e+00,9.999999999995452526e+00,-6.015504304215281081e-03
-3.701229913647383540e+01,3.505475425275474066e+00,9.999999999995452526e+00,-4.996202387330257212e-03
-3.695003942342895442e+01,3.546911561236879784e+00,9.999999999995452526e+00,-3.976947357946451767e-03
-3.688776738875625938e+01,3.588329177713208029e+00,9.999999999995452526e+00,-2.957736340189903029e-03
-3.682548619381002908e+01,3.629733018497848462e+00,9.999999999995452526e+00,-1.938565369232448602e-03
-3.676319899667198143e+01,3.671127829292676115e+00,9.999999999995452526e+00,-9.194296759664065833e-04
-3.670090895325062519e+01,3.712518357007685843e+00,9.999999999995452526e+00,9.967603813019515382e-05
-3.663861921838266511e+01,3.753909349063950796e+00,9.999999999995452526e+00,1.114503621215344334e-03
-3.657633293376486705e+01,3.795305532884208688e+00,9.999999999995452526e+00,1.775898324629774164e-03
-3.651405214776759323e+01,3.836709988925982806e+00,9.999999999995452526e+00,1.657446149610136265e-03
-3.645177649460077873e+01,3.878122164790263504e+00,9.999999999995452526e+00,1.410427474296174722e-03
-3.638950521004298366e+01,3.919540909446640686e+00,9.999999999995452526e+00,1.163412730388819908e-03
-3.632723752952087892e+01,3.960965072125021802e+00,9.999999999995452526e+00,9.164025472926675374e-04
-3.626497268817494302e+01,4.002393502276257564e+00,9.999999999995452526e+00,6.693975472479669550e-04
-3.620270992092518725e+01,4.043825049532660643e+00,9.999999999995452526e+00,4.223983204042397509e-04
-3.614044846253668908e+01,4.085258563668404896e+00,9.999999999995452526e+00,1.754054674344223102e-04
-3.607818754768523917e+01,4.126692894559896629e+00,9.999999999995452526e+00,-7.158044031847817369e-05
-3.601592641102279657e+01,4.168126892146061913e+00,9.999999999995452526e+00,-3.185588180000054406e-04
-3.595366428724302921e+01,4.209559406388661884e+00,9.999999999995452526e+00,-5.520117755745747616e-04
-3.589140045302850979e+01,4.250989350177771797e+00,9.999999999995452526e+00,-6.112031590333829754e-04
-3.582913472509108743e+01,4.292416447808279578e+00,9.999999999995452526e+00,-5.394740783012791623e-04
-3.576686732578048833e+01,4.333841033225655615e+00,9.999999999995452526e+00,-4.634219122666789672e-04
-3.570459849079892933e+01,4.375263460534378090e+00,9.999999999995452526e+00,-3.873720474590077291e-04
-3.564232845580464470e+01,4.416684083852729259e+00,9.999999999995452526e+00,-3.113247564512294308e-04
-3.558005745641711570e+01,4.458103257307482359e+00,9.999999999995452526e+00,-2.354535350846429322e-04
-3.551778572768569830e+01,4.499521334221880053e+00,9.999999999995452526e+00,-1.592253275254877230e-04
-3.545551350574682914e+01,4.540938669594154931e+00,9.999999999995452526e+00,-8.276706850038468807e-05
-3.539324102743680811e+01,4.582355619502400224e+00,9.999999999995452526e+00,-6.733541547408458805e-06
-3.533096852826974299e+01,4.623772538051019509e+00,9.999999999995452526e+00,6.925157986764007509e-05
-3.526869624360926281e+01,4.665189779119342184e+00,9.999999999995452526e+00,1.329952660605012230e-04
-3.520642437090581467e+01,4.706607639572585100e+00,9.999999999995452526e+00,1.547372782843038641e-04
-3.514415297751359901e+01,4.748026220662468155e+00,9.999999999995452526e+00,1.667311157237660597e-04
-3.508188210059383749e+01,4.789445578240028034e+00,9.999999999995452526e+00,1.787237072542155773e-04
-3.501961177730597541e+01,4.830865768149113393e+00,9.999999999995452526e+00,1.907149840163088425e-04
-3.495734204480761775e+01,4.872286846225964752e+00,9.999999999995452526e+00,2.027048680300678302e-04
